text,manually_annotated_label
"Here are Thursday's biggest analyst calls: Apple, Amazon, Tesla, Palantir, DocuSign, Exxon &amp; more  https://t.co/QPN8Gwl7Uh",Analyst Update
"Buy Las Vegas Sands as travel to Singapore builds, Wells Fargo says  https://t.co/fLS2w57iCz",Analyst Update
"Piper Sandler downgrades DocuSign to sell, citing elevated risks amid CEO transition  https://t.co/1EmtywmYpr",Analyst Update
"Analysts react to Tesla's latest earnings, break down what's next for electric car maker  https://t.co/kwhoE6W06u",Analyst Update
"Netflix and its peers are set for a ‘return to growth,’ analysts say, giving one stock 120% upside  https://t.co/jPpdl0D9s4",Analyst Update
Barclays believes earnings for these underperforming stocks may surprise Wall Street  https://t.co/PHbsyVGAyE,Analyst Update
"Bernstein upgrades Alibaba, says shares can rally more than 20% from here  https://t.co/m3ApoPRGU0",Analyst Update
"Analysts react to Netflix's strong quarter, with some pointing to a potential bottom for the stock  https://t.co/cQngJsyefD",Analyst Update
"Buy Chevron as shares look attractive at these levels, HSBC says  https://t.co/GkDpFvxjEP",Analyst Update
Morgan Stanley says these global stocks are set for earnings beats — and gives one over 45% upside  https://t.co/GeWxa5YoWr,Analyst Update
Investing Club: Analysts dropped a bunch of new notes on energy stocks. Here's where we stand on ours  https://t.co/faKcXzyMGZ,Analyst Update
"CFRA downgrades Disney, says lack of cash dividend could hurt its streaming platform  https://t.co/KG5V0NDfK4",Analyst Update
Bank of America is more bullish than JPMorgan. Here's what that means for Wall Street and the economy  https://t.co/zHxjgjmwJv,Analyst Update
"Here are Tuesday's biggest analyst calls: Meta, Chipotle, Apple, Tesla, Exxon, Netflix, Sunrun &amp; more  https://t.co/xgyzBGpBvc",Analyst Update
"Citi cuts Microsoft price target, citing foreign exchange headwinds  https://t.co/ZsnMboYnGw",Analyst Update
"Exchange operator Cboe is a buy as recession chances rise, Morgan Stanley says  https://t.co/Z51h67lv4O",Analyst Update
"Strong earnings may not be enough to bring Netflix out of its funk, Credit Suisse says  https://t.co/99YkU9j8X2",Analyst Update
"Tesla's bitcoin holdings could result in a $460 million hit for the carmaker, Barclays says  https://t.co/J50bSXAsf6",Analyst Update
Morningstar strategist says two FAANG stocks look incredibly cheap right now  https://t.co/DKr5Q5o0ei,Analyst Update
Analyst call of the day for @CNBCPro subscribers: Citi added a positive catalyst watch to Delta and said it sees “upside risk.”  Subscribe to see the analyst calls of the day curated by CNBC Pro.  https://t.co/eAYz0ec9dO,Analyst Update
"Apple's near-term future looks murky as consumer spending slows, Bernstein says  https://t.co/21T9LREta4",Analyst Update
"Buy Tesla in the short term to capture potential upside from earnings, says Deutsche Bank  https://t.co/Q4MqoSVmXJ",Analyst Update
"Here are Monday's biggest analyst calls of the day: Tesla, Apple, Yum, Delta, Fox, Netflix &amp; more  https://t.co/Pt2oqzwPvB",Analyst Update
"Deutsche Bank downgrades General Motors, cites looming pricing risks to automakers  https://t.co/40yhalOoOU",Analyst Update
"Morgan Stanley downgrades Paramount and Fox, warns of possible 'streaming recession'  https://t.co/apofBK4yVZ",Analyst Update
"Buy Yum Brands to defend against a slowdown in consumer spending, Goldman Sachs says  https://t.co/88zGuVwEXi",Analyst Update
Analysts reveal the top stocks with 'significant upside potential' heading into earnings  https://t.co/lfaLK3nwAz,Analyst Update
Argus downgrades Delta citing weak outlook following second-quarter earnings  https://t.co/MuWXm66fAo,Analyst Update
"Analyst call of the day for @CNBCPro subscribers: Bank of America kept its buy rating on shares of Nvidia, but said any weakness in the stock could impact other semiconductor companies.  Subscribe to see the analyst calls of the day curated by CNBC Pro.  https://t.co/lHRN17009h",Analyst Update
