Date,Underemployment Rate
1/06/1978,4.270053688
1/07/1978,3.93379361
1/08/1978,4.045332661
1/09/1978,3.999335945
1/10/1978,3.722322069
1/11/1978,3.94744027
1/12/1978,3.618256367
1/01/1979,3.962852036
1/02/1979,4.351049618
1/03/1979,4.171866366
1/04/1979,4.092223579
1/05/1979,3.837195444
1/06/1979,3.824137814
1/07/1979,3.786941982
1/08/1979,3.67977155
1/09/1979,3.80887817
1/10/1979,3.857820496
1/11/1979,3.567765164
1/12/1979,3.575496903
1/01/1980,3.872539915
1/02/1980,4.307073081
1/03/1980,4.05254845
1/04/1980,3.939570424
1/05/1980,3.999500421
1/06/1980,3.993672406
1/07/1980,3.753109802
1/08/1980,3.718458848
1/09/1980,3.897098949
1/10/1980,3.594259493
1/11/1980,3.483074243
1/12/1980,3.495950011
1/01/1981,3.664382361
1/02/1981,3.927832537
1/03/1981,4.093044581
1/04/1981,3.714250647
1/05/1981,3.803212241
1/06/1981,3.594171333
1/07/1981,3.661998359
1/08/1981,3.817396724
1/09/1981,3.822697976
1/10/1981,3.805629871
1/11/1981,3.833701431
1/12/1981,3.745626996
1/01/1982,3.882799052
1/02/1982,4.684401351
1/03/1982,4.555232705
1/04/1982,4.378324906
1/05/1982,4.434875808
1/06/1982,4.558372377
1/07/1982,4.65034173
1/08/1982,4.752214853
1/09/1982,5.31989681
1/10/1982,5.618178012
1/11/1982,5.866336004
1/12/1982,6.288616832
1/01/1983,6.488042094
1/02/1983,7.486183937
1/03/1983,7.583158366
1/04/1983,7.474565881
1/05/1983,7.605934826
1/06/1983,7.482474971
1/07/1983,7.347709435
1/08/1983,7.334428252
1/09/1983,7.513238355
1/10/1983,6.997122294
1/11/1983,6.493010597
1/12/1983,6.393934209
1/01/1984,6.920343821
1/02/1984,7.331152725
1/03/1984,7.057398559
1/04/1984,6.883927703
1/05/1984,6.558354075
1/06/1984,6.504598852
1/07/1984,6.124794285
1/08/1984,6.157161838
1/09/1984,6.377267311
1/10/1984,5.930904748
1/11/1984,5.618556208
1/12/1984,5.702216208
1/01/1985,6.149737794
1/02/1985,6.448117172
1/03/1985,6.53197957
1/04/1985,6.318892387
1/05/1985,6.186510319
1/06/1985,6.252715679
1/07/1985,5.711007638
1/08/1985,5.767891827
1/09/1985,5.759084668
1/10/1985,5.384152166
1/11/1985,5.392855906
1/12/1985,5.201876711
1/01/1986,5.505164147
1/02/1986,6.366932233
1/03/1986,6.236759599
1/04/1986,5.822534848
1/05/1986,5.848503804
1/06/1986,5.612465244
1/07/1986,5.812304799
1/08/1986,5.936606935
1/09/1986,6.024436728
1/10/1986,5.648172923
1/11/1986,5.691380689
1/12/1986,5.600340391
1/01/1987,6.092454112
1/02/1987,6.46325183
1/03/1987,6.728265536
1/04/1987,6.37391118
1/05/1987,6.25953962
1/06/1987,5.893177151
1/07/1987,5.881056279
1/08/1987,5.839709154
1/09/1987,5.681572521
1/10/1987,5.565255182
1/11/1987,5.418589746
1/12/1987,5.337845919
1/01/1988,5.533413725
1/02/1988,5.854144195
1/03/1988,5.76644682
1/04/1988,5.893133617
1/05/1988,5.557357344
1/06/1988,5.331072043
1/07/1988,4.928529617
1/08/1988,4.920429383
1/09/1988,5.169201289
1/10/1988,4.810449488
1/11/1988,4.61972765
1/12/1988,4.752609886
1/01/1989,5.216895584
1/02/1989,5.411608812
1/03/1989,4.93580711
1/04/1989,4.841750306
1/05/1989,4.768550779
1/06/1989,4.517977391
1/07/1989,4.413656029
1/08/1989,4.285776291
1/09/1989,4.536431118
1/10/1989,4.086806446
1/11/1989,4.082607184
1/12/1989,4.067698078
1/01/1990,4.510757754
1/02/1990,5.188439326
1/03/1990,4.715009308
1/04/1990,4.562715438
1/05/1990,4.732131709
1/06/1990,4.920699669
1/07/1990,4.998113474
1/08/1990,5.142369864
1/09/1990,5.575591067
1/10/1990,5.437822275
1/11/1990,5.607780883
1/12/1990,5.625420269
1/01/1991,6.540508022
1/02/1991,7.188801465
1/03/1991,7.263110199
1/04/1991,7.57045564
1/05/1991,7.186245285
1/06/1991,6.99374129
1/07/1991,7.390595156
1/08/1991,7.32127505
1/09/1991,7.71717696
1/10/1991,7.357792538
1/11/1991,7.502636627
1/12/1991,7.701199426
1/01/1992,8.217592538
1/02/1992,8.746139436
1/03/1992,8.300271637
1/04/1992,8.174455576
1/05/1992,8.147999098
1/06/1992,8.2245638
1/07/1992,8.345902967
1/08/1992,8.004612926
1/09/1992,8.239794234
1/10/1992,8.048436522
1/11/1992,8.259522959
1/12/1992,8.618364698
1/01/1993,9.05940439
1/02/1993,9.506795943
1/03/1993,8.819645438
1/04/1993,8.71275683
1/05/1993,8.576199412
1/06/1993,8.532189233
1/07/1993,8.423814633
1/08/1993,8.511002983
1/09/1993,8.513045765
1/10/1993,8.280353787
1/11/1993,8.425202321
1/12/1993,8.095644265
1/01/1994,8.585832917
1/02/1994,8.844039665
1/03/1994,8.224718243
1/04/1994,7.928243025
1/05/1994,7.576371865
1/06/1994,7.56720072
1/07/1994,7.306862851
1/08/1994,7.297355857
1/09/1994,7.401830026
1/10/1994,7.018204588
1/11/1994,7.081627045
1/12/1994,6.827213454
1/01/1995,7.399569929
1/02/1995,7.609680087
1/03/1995,7.245954548
1/04/1995,6.676070483
1/05/1995,6.540893979
1/06/1995,6.332979928
1/07/1995,6.339179369
1/08/1995,6.423102335
1/09/1995,6.492515525
1/10/1995,6.396720293
1/11/1995,6.239502487
1/12/1995,5.956809933
1/01/1996,6.670061073
1/02/1996,7.025025656
1/03/1996,6.686308629
1/04/1996,6.741875549
1/05/1996,6.569415977
1/06/1996,6.386347817
1/07/1996,6.360203072
1/08/1996,6.76741357
1/09/1996,6.832503932
1/10/1996,6.593818453
1/11/1996,6.367458431
1/12/1996,6.356369165
1/01/1997,7.074807126
1/02/1997,7.463528815
1/03/1997,7.000225368
1/04/1997,6.824685331
1/05/1997,6.822231447
1/06/1997,6.404803032
1/07/1997,6.425222549
1/08/1997,6.505876575
1/09/1997,6.343439059
1/10/1997,6.040760822
1/11/1997,6.022415534
1/12/1997,5.840749551
1/01/1998,6.36237585
1/02/1998,6.777587464
1/03/1998,6.501145838
1/04/1998,6.049616329
1/05/1998,6.170632452
1/06/1998,6.089360506
1/07/1998,6.018747941
1/08/1998,6.124618242
1/09/1998,6.170485365
1/10/1998,5.647347123
1/11/1998,5.859984557
1/12/1998,5.436654614
1/01/1999,5.961832745
1/02/1999,6.236825482
1/03/1999,5.666516836
1/04/1999,5.628232394
1/05/1999,5.598668488
1/06/1999,5.216269057
1/07/1999,5.059735983
1/08/1999,5.338223483
1/09/1999,5.660961555
1/10/1999,5.284307644
1/11/1999,4.823011504
1/12/1999,5.022627911
1/01/2000,5.600505011
1/02/2000,5.831520221
1/03/2000,5.584888343
1/04/2000,5.213260079
1/05/2000,5.272270171
1/06/2000,4.881861012
1/07/2000,4.59391135
1/08/2000,4.660747213
1/09/2000,4.893298114
1/10/2000,4.65753273
1/11/2000,4.778088614
1/12/2000,4.582017115
1/01/2001,5.060404712
1/02/2001,5.673306405
1/03/2001,5.254402424
1/04/2001,5.490574647
1/05/2001,5.319265904
1/06/2001,5.318196074
1/07/2001,4.94092526
1/08/2001,5.376337098
1/09/2001,5.45073422
1/10/2001,5.42389868
1/11/2001,5.253108492
1/12/2001,5.082564861
1/01/2002,5.853381377
1/02/2002,5.732799676
1/03/2002,5.346172584
1/04/2002,5.22400727
1/05/2002,5.099953781
1/06/2002,5.096014759
1/07/2002,4.618050352
1/08/2002,4.813158165
1/09/2002,5.009393685
1/10/2002,4.553452143
1/11/2002,4.544935011
1/12/2002,4.587556722
1/01/2003,5.137154309
1/02/2003,5.31546117
