Date,Underemployment Rate
1/01/2018,4.614744592
1/02/2018,4.524650211
1/03/2018,4.441511629
1/04/2018,4.349381429
1/05/2018,4.293985477
1/06/2018,4.134292432
1/07/2018,4.166539222
1/08/2018,4.175847952
1/09/2018,3.819348762
1/10/2018,3.692299741
1/11/2018,3.623340427
1/12/2018,3.580532544
1/01/2019,4.012529096
1/02/2019,4.182229362
1/03/2019,4.069667343
1/04/2019,4.092001748
1/05/2019,3.968206086
1/06/2019,3.97319642
1/07/2019,4.135754059
1/08/2019,4.251490029
1/09/2019,4.03745557
1/10/2019,3.835193387
1/11/2019,3.806094062
1/12/2019,3.602348428
